ID,Initial_date,After Date,initial_pollen_weight,final_pollen_weight,initial_sucrose_weight,After Time,final_sucrose_weight,NOTES
132,4-Dec,6-Dec,0.3657,0.3521,17.2829,5:00 PM,15.1049,
133,4-Dec,6-Dec,0.3544,0.3508,16.9769,5:00 PM,14.4312,
134,4-Dec,6-Dec,0.4749,0.4522,15.9578,5:00 PM,13.9375,
135,4-Dec,6-Dec,0.4618,0.4201,16.172,5:00 PM,13.5414,
136,4-Dec,6-Dec,0.4065,0.3763,16.7998,5:00 PM,13.0792,
137,4-Dec,6-Dec,0.435,0.3347,17.38,5:00 PM,13.8719,
138,4-Dec,6-Dec,0.5172,0.4177,15.938,5:00 PM,12.979,
139,4-Dec,6-Dec,,,,5:00 PM,,
140,4-Dec,6-Dec,0.3753,0.3647,15.435,5:00 PM,12.9537,
141,4-Dec,6-Dec,0.4567,0.4185,16.4321,5:00 PM,14.4635,
142,4-Dec,6-Dec,0.4743,0.4501,16.4204,5:00 PM,15.8793,
143,4-Dec,6-Dec,0.4755,0.4439,17.6234,5:00 PM,15.494,
144,4-Dec,6-Dec,0.4642,0.4374,15.7396,5:00 PM,13.2277,
145,4-Dec,6-Dec,0.4961,0.4419,17.9545,5:00 PM,15.7724,
146,4-Dec,6-Dec,0.3787,0.366,17.2013,5:00 PM,15.3995,
147,4-Dec,6-Dec,0.3275,0.2817,18.1954,5:00 PM,14.902,
148,4-Dec,6-Dec,0.4227,0.351,18.7121,5:00 PM,16.0209,
149,4-Dec,6-Dec,0.4477,0.3951,19.7717,5:00 PM,17.3158,
150,4-Dec,6-Dec,0.438,0.3938,44.6824,5:00 PM,42.1475,
151,4-Dec,6-Dec,0.4575,0.4299,42.3096,5:00 PM,38.8355,
152,4-Dec,6-Dec,,,,5:00 PM,,
153,4-Dec,6-Dec,0.3416,0.3061,34.9172,5:00 PM,22.2104,
154,4-Dec,6-Dec,0.3705,0.3396,40.0375,5:00 PM,37.3421,
155,4-Dec,6-Dec,0.4854,0.4617,41.0039,5:00 PM,37.5965,
156,4-Dec,6-Dec,0.483,0.443,41.3967,5:00 PM,38.3093,
157,4-Dec,6-Dec,0.4163,0.3932,41.2203,5:00 PM,37.5784,
158,4-Dec,13-Dec,0.5415,0.3941,51.1367,5:00 PM,46.8955,
159,4-Dec,13-Dec,0.4983,0.4692,40.127,5:00 PM,36.14,
160,4-Dec,13-Dec,0.361,0.3531,42.8028,5:00 PM,39.8672,
161,4-Dec,13-Dec,0.3905,0.3659,42.5251,5:00 PM,,
162,4-Dec,13-Dec,,,,5:00 PM,,
163,4-Dec,13-Dec,0.5008,0.4249,51.5827,5:00 PM,32.7107,
164,4-Dec,13-Dec,0.3993,0.3825,52.0659,5:00 PM,39.7142,
165,4-Dec,13-Dec,0.465,0.3763,40.8036,5:00 PM,38.482,
166,4-Dec,13-Dec,,,,5:00 PM,,
167,4-Dec,13-Dec,0.3364,0.4454,42.013,5:00 PM,38.9423,
168,4-Dec,13-Dec,0.3494,0.3172,43.1162,5:00 PM,35.8516,
169,11-Dec,13-Dec,0.3464,0.322,72.3978,5:00 PM,33.8072,
170,11-Dec,13-Dec,0.3749,0.3561,94.0893,5:00 PM,66.9982,
171,11-Dec,13-Dec,0.3744,0.344,"849,627",5:00 PM,82.188,
172,11-Dec,13-Dec,0.4042,0.3843,83.7045,5:00 PM,51.9212,
173,11-Dec,13-Dec,0.3607,0.3456,88.955,5:00 PM,84.3936,
174,11-Dec,13-Dec,0.2987,0.2806,90.4031,5:00 PM,85.5907,
175,11-Dec,13-Dec,0.276,0.2461,66.7622,5:00 PM,23.4994,
176,11-Dec,13-Dec,0.3916,0.375,58.0964,5:00 PM,47.8921,
177,11-Dec,13-Dec,0.3842,0.3621,57.0338,5:00 PM,53.5431,
178,11-Dec,13-Dec,0.3494,0.3198,98.0822,5:00 PM,93.67,
179,11-Dec,13-Dec,0.4909,0.3531,80.513,5:00 PM,77.395,
180,11-Dec,13-Dec,0.4152,0.3897,61.0398,5:00 PM,59.1916,
181,11-Dec,13-Dec,0.2378,,34.2468,5:00 PM,,
182,11-Dec,13-Dec,0.2418,0.2026,31.4737,5:00 PM,23.5826,
183,11-Dec,13-Dec,0.326,0.3146,39.354,5:00 PM,36.508,
184,11-Dec,13-Dec,0.4498,0.4211,37.9395,5:00 PM,23.0115,
185,11-Dec,13-Dec,0.2852,0.2854,38.1689,5:00 PM,35.9078,
186,11-Dec,13-Dec,,,,5:00 PM,,
187,11-Dec,13-Dec,0.3863,0.3816,35.9983,5:00 PM,33.5496,
188,11-Dec,13-Dec,0.2765,0.2383,34.6992,5:00 PM,32.4792,
189,11-Dec,13-Dec,0.293,0.23742,33.1253,5:00 PM,29.0076,
190,11-Dec,13-Dec,0.3452,0.3232,32.8591,5:00 PM,30.5528,
191,11-Dec,13-Dec,0.3113,0.293,32.7924,5:00 PM,34.8802,
192,11-Dec,13-Dec,0.3689,0.3477,37.4881,5:00 PM,29.4926,
193,11-Dec,13-Dec,0.3837,0.3575,31.5059,5:00 PM,32.1754,
194,11-Dec,13-Dec,0.4242,0.4208,34.4407,5:00 PM,34.616,
